Date,close_Pulp,open_Pulp,high_Pulp,low_Pulp
2018-10-22,79.83,80.11,80.41,78.99
2018-10-23,76.44,80.04,80.12,75.88
2018-10-24,76.17,76.35,77.57,75.11
2018-10-25,76.89,75.67,77.08,75.35
2018-10-26,77.62,76.6,77.91,75.77
2018-10-27,77.62,76.6,77.91,75.77
2018-10-28,77.62,76.6,77.91,75.77
2018-10-29,77.34,77.64,78.03,76.55
2018-10-30,75.91,76.82,77.32,75.09
2018-10-31,75.47,76.28,76.92,75.42
2018-11-01,72.89,74.69,74.99,72.56
2018-11-02,72.83,72.75,73.5,72.16
2018-11-03,72.83,72.75,73.5,72.16
2018-11-04,72.83,72.75,73.5,72.16
2018-11-05,73.17,72.85,74.13,72.26
2018-11-06,72.13,72.85,73.28,71.18
2018-11-07,72.07,71.66,73.55,71.36
2018-11-08,70.65,72.1,73.08,70.56
2018-11-09,70.18,70.87,70.99,69.13
2018-11-10,70.18,70.87,70.99,69.13
2018-11-11,70.18,70.87,70.99,69.13
2018-11-12,70.12,70.69,71.88,68.87
2018-11-13,65.47,69.13,69.68,64.61
2018-11-14,66.12,65.62,67.63,65.02
2018-11-15,66.62,66.12,67.42,65.77
2018-11-16,66.76,66.68,68.38,66.06
2018-11-17,66.76,66.68,68.38,66.06
2018-11-18,66.76,66.68,68.38,66.06
2018-11-19,66.79,66.99,67.64,65.27
2018-11-20,62.53,66.9,66.9,61.71
2018-11-21,63.48,62.6,64.48,62.56
2018-11-22,62.6,63.6,63.81,62.27
2018-11-23,58.8,62.58,62.79,58.41
2018-11-24,58.8,62.58,62.79,58.41
2018-11-25,58.8,62.58,62.79,58.41
2018-11-26,60.48,58.98,61.13,58.6
2018-11-27,60.21,60.39,61.4,58.92
2018-11-28,58.76,60.63,61.27,58.55
2018-11-29,59.51,59.12,60.37,57.5
2018-11-30,58.71,59.28,59.93,58.25
2018-12-01,58.71,59.28,59.93,58.25
2018-12-02,58.71,59.28,59.93,58.25
2018-12-03,61.69,59.98,62.6,59.85
2018-12-04,62.08,61.9,63.58,61.24
2018-12-05,61.56,61.35,63.29,60.8
2018-12-06,60.06,61.36,61.97,58.36
2018-12-07,61.67,60.25,63.73,59.1
2018-12-08,61.67,60.25,63.73,59.1
2018-12-09,61.67,60.25,63.73,59.1
2018-12-10,59.97,61.34,62.33,59.61
2018-12-11,60.2,59.91,61.1,59.58
2018-12-12,60.15,60.67,61.43,59.98
2018-12-13,61.45,60.29,62.02,59.33
2018-12-14,60.28,61.53,61.58,59.92
2018-12-15,60.28,61.53,61.58,59.92
2018-12-16,60.28,61.53,61.58,59.92
2018-12-17,59.61,60.25,61.21,58.64
2018-12-18,56.26,59.0,59.24,55.89
2018-12-19,57.24,56.51,58.11,56.04
2018-12-20,54.35,56.49,56.75,54.28
2018-12-21,53.82,54.97,55.33,52.79
2018-12-22,53.82,54.97,55.33,52.79
2018-12-23,53.82,54.97,55.33,52.79
2018-12-24,50.47,53.49,54.66,50.36
2018-12-25,50.47,53.49,54.66,50.36
2018-12-26,54.47,50.84,55.29,49.93
2018-12-27,52.16,54.65,54.67,51.94
2018-12-28,52.2,53.44,53.8,51.6
2018-12-29,52.2,53.44,53.8,51.6
2018-12-30,52.2,53.44,53.8,51.6
2018-12-31,53.8,53.0,54.82,52.66
2019-01-01,53.8,53.0,54.82,52.66
2019-01-02,54.91,54.12,56.56,52.51
2019-01-03,55.95,54.29,56.3,53.93
2019-01-04,57.06,55.67,58.31,55.34
2019-01-05,57.06,55.67,58.31,55.34
2019-01-06,57.06,55.67,58.31,55.34
2019-01-07,57.33,57.41,58.93,57.26
2019-01-08,58.72,57.64,58.87,57.13
2019-01-09,61.44,59.15,61.69,59.05
2019-01-10,61.68,61.15,61.91,60.44
2019-01-11,60.48,61.19,62.49,60.08
2019-01-12,60.48,61.19,62.49,60.08
2019-01-13,60.48,61.19,62.49,60.08
2019-01-14,58.99,60.62,61.04,58.9
2019-01-15,60.64,59.36,60.86,59.11
2019-01-16,61.32,60.42,61.45,60.03
2019-01-17,61.18,61.05,61.54,60.04
2019-01-18,62.7,61.33,63.0,61.32
2019-01-19,62.7,61.33,63.0,61.32
2019-01-20,62.7,61.33,63.0,61.32
2019-01-21,62.74,62.74,63.15,62.25
2019-01-22,61.5,62.59,62.71,60.57
2019-01-23,61.14,61.37,62.33,60.21
2019-01-24,61.09,61.02,61.51,60.41
2019-01-25,61.64,61.13,61.92,60.7
2019-01-26,61.64,61.13,61.92,60.7
2019-01-27,61.64,61.13,61.92,60.7
2019-01-28,59.93,61.49,61.69,59.49
2019-01-29,61.32,59.87,61.79,59.75
2019-01-30,61.65,61.26,62.67,61.04
2019-01-31,61.89,61.97,62.32,61.57
2019-02-01,62.75,61.06,62.97,60.46
2019-02-02,62.75,61.06,62.97,60.46
2019-02-03,62.75,61.06,62.97,60.46
2019-02-04,62.51,62.83,63.63,61.28
2019-02-05,61.98,62.64,63.02,61.72
2019-02-06,62.69,62.06,62.8,61.05
2019-02-07,61.63,62.5,62.91,60.6
2019-02-08,62.1,61.66,62.36,61.04
2019-02-09,62.1,61.66,62.36,61.04
2019-02-10,62.1,61.66,62.36,61.04
2019-02-11,61.51,62.11,62.34,60.9
2019-02-12,62.42,61.59,63.34,61.59
2019-02-13,63.61,62.7,63.98,62.69
2019-02-14,64.57,63.69,64.81,63.25
2019-02-15,66.25,64.86,66.39,64.42
2019-02-16,66.25,64.86,66.39,64.42
2019-02-17,66.25,64.86,66.39,64.42
2019-02-18,66.5,66.39,66.83,65.9
2019-02-19,66.45,66.44,66.65,65.58
2019-02-20,67.08,66.3,67.38,65.63
2019-02-21,67.07,67.05,67.31,66.69
2019-02-22,67.12,66.96,67.73,66.87
2019-02-23,67.12,66.96,67.73,66.87
2019-02-24,67.12,66.96,67.73,66.87
